date,gender_label,liczba_przejazdow,temperatura,opady,wiatr,wilgotnosc
2018-10-04,Kobiety,320,20.878125,0.13468750000000002,9.4884375,88.0
2018-10-04,Mężczyźni,1205,20.71286307053942,0.15427385892116183,9.088547717842324,88.39834024896265
2018-10-04,Unknown,72,21.86111111111111,0.2361111111111111,10.630555555555555,87.76388888888889
2018-10-05,Kobiety,349,17.117478510028654,0.0,13.77134670487106,74.79942693409743
2018-10-05,Mężczyźni,1167,17.36075407026564,0.0,13.1337617823479,74.39074550128535
2018-10-05,Unknown,78,17.525641025641026,0.0,12.74102564102564,73.62820512820512
2018-10-06,Kobiety,229,19.30131004366812,0.06593886462882095,13.779475982532752,83.02620087336244
2018-10-06,Mężczyźni,620,19.31774193548387,0.05516129032258065,14.048709677419357,82.84354838709677
2018-10-06,Unknown,67,19.328358208955223,0.029850746268656716,13.82686567164179,83.28358208955224
2018-10-07,Kobiety,309,24.071197411003237,0.006472491909385114,10.322977346278318,80.68608414239482
2018-10-07,Mężczyźni,708,23.929378531073446,0.005225988700564972,10.02132768361582,81.05649717514125
2018-10-07,Unknown,107,24.49532710280374,0.0009345794392523365,9.411214953271028,79.08411214953271
2018-10-08,Kobiety,257,19.19066147859922,0.02529182879377432,14.759143968871594,88.92996108949416
2018-10-08,Mężczyźni,986,19.154158215010142,0.021703853955375257,14.693306288032455,89.23833671399595
2018-10-08,Unknown,59,19.576271186440678,0.04406779661016949,16.11864406779661,87.22033898305085
2018-10-09,Kobiety,398,21.829145728643216,0.030402010050251258,11.346984924623117,90.13065326633166
2018-10-09,Mężczyźni,1301,21.778631821675635,0.026518063028439662,11.363720215219063,90.53727901614143
2018-10-09,Unknown,56,21.660714285714285,0.03035714285714286,11.576785714285714,90.48214285714286
2018-10-10,Kobiety,369,22.422764227642276,0.015176151761517617,11.086449864498645,92.51219512195122
2018-10-10,Mężczyźni,1271,22.37686860739575,0.01778127458693942,10.852242328874901,92.50983477576712
2018-10-10,Unknown,57,22.666666666666668,0.031578947368421054,11.45438596491228,91.01754385964912
2018-10-11,Kobiety,246,22.739837398373982,0.40934959349593497,14.980081300813008,94.47154471544715
2018-10-11,Mężczyźni,855,22.76374269005848,0.3759064327485381,14.623742690058478,94.49239766081871
2018-10-11,Unknown,40,22.675,0.5,15.3025,94.375
2018-10-12,Kobiety,273,14.483516483516484,0.0010989010989010991,22.34908424908425,60.934065934065934
2018-10-12,Mężczyźni,1055,14.534597156398105,0.014976303317535545,22.280189573459715,61.70521327014218
2018-10-12,Unknown,57,14.75438596491228,0.0,23.863157894736844,59.73684210526316
2018-10-13,Kobiety,276,11.992753623188406,0.09710144927536232,15.806159420289855,63.57608695652174
2018-10-13,Mężczyźni,605,11.753719008264463,0.0778512396694215,15.264132231404957,64.57520661157025
2018-10-13,Unknown,61,11.98360655737705,0.07868852459016393,16.009836065573772,63.19672131147541
2018-10-14,Kobiety,241,12.87136929460581,0.0,10.237759336099584,60.31120331950208
2018-10-14,Mężczyźni,615,12.697560975609756,0.0,10.135447154471546,61.43577235772358
2018-10-14,Unknown,68,12.661764705882353,0.0,9.898529411764706,61.75
2018-10-15,Kobiety,307,16.879478827361563,0.38859934853420197,19.46058631921824,90.24755700325733
2018-10-15,Mężczyźni,941,16.689691817215728,0.3782146652497343,18.873963868225292,90.31243358129649
2018-10-15,Unknown,41,17.195121951219512,0.33902439024390246,20.295121951219514,90.97560975609755
2018-10-16,Kobiety,362,10.469613259668508,0.0033149171270718232,16.038397790055246,53.24033149171271
2018-10-16,Mężczyźni,1105,10.582805429864253,0.0038914027149321265,15.957104072398188,53.10226244343892
2018-10-16,Unknown,52,10.0,0.0,15.848076923076924,53.84615384615385
2018-10-17,Kobiety,310,11.996774193548386,0.006129032258064516,20.886129032258065,60.60322580645161
2018-10-17,Mężczyźni,1094,11.96800731261426,0.006855575868372943,20.809232175502743,60.089579524680076
2018-10-17,Unknown,48,12.3125,0.008333333333333333,22.06041666666667,58.833333333333336
2018-10-18,Kobiety,261,7.32183908045977,0.0,16.378927203065132,50.888888888888886
2018-10-18,Mężczyźni,1000,7.443,0.0,16.3589,50.391
2018-10-18,Unknown,38,7.421052631578948,0.0,17.69736842105263,49.421052631578945
2018-10-19,Kobiety,284,10.369718309859154,0.004225352112676057,16.50950704225352,66.51408450704226
2018-10-19,Mężczyźni,1051,10.501427212178877,0.006089438629876308,16.507992388201714,65.98097050428164
2018-10-19,Unknown,46,10.23913043478261,0.026086956521739136,16.36521739130435,69.23913043478261
2018-10-20,Kobiety,233,14.716738197424892,0.015021459227467811,16.764377682403435,71.8969957081545
2018-10-20,Mężczyźni,659,14.663125948406677,0.020030349013657054,16.48270106221548,71.20940819423369
2018-10-20,Unknown,59,14.661016949152541,0.006779661016949153,16.942372881355933,72.35593220338983
2018-10-21,Kobiety,192,7.307291666666667,0.0067708333333333336,27.886458333333334,51.791666666666664
2018-10-21,Mężczyźni,456,7.18640350877193,0.007236842105263159,26.93092105263158,52.93640350877193
2018-10-21,Unknown,28,7.357142857142857,0.0,28.45,51.464285714285715
2018-10-22,Kobiety,245,7.66530612244898,0.0,13.418367346938776,64.9265306122449
2018-10-22,Mężczyźni,963,7.70404984423676,0.0,13.157009345794393,65.33956386292834
2018-10-22,Unknown,29,8.03448275862069,0.0,15.137931034482758,61.48275862068966
2018-10-23,Kobiety,314,12.136942675159236,0.008280254777070064,13.021019108280255,64.80573248407643
2018-10-23,Mężczyźni,1156,12.285467128027681,0.0067474048442906585,12.988840830449828,64.37110726643598
2018-10-23,Unknown,44,12.477272727272727,0.009090909090909092,13.4,62.93181818181818
2018-10-24,Kobiety,287,9.149825783972126,0.0,20.406620209059234,56.75261324041812
2018-10-24,Mężczyźni,1072,9.272388059701493,0.0,20.43348880597015,56.07276119402985
2018-10-24,Unknown,48,9.291666666666666,0.0,20.693749999999998,56.583333333333336
2018-10-25,Kobiety,277,6.92057761732852,0.0,13.745126353790614,63.70397111913358
2018-10-25,Mężczyźni,929,6.794402583423036,0.0,13.57341227125942,64.3702906350915
2018-10-25,Unknown,36,7.138888888888889,0.0,14.097222222222221,62.75
2018-10-26,Kobiety,265,7.60377358490566,0.0022641509433962265,6.313962264150944,67.76981132075471
